cost_center,program_name,administering_department,department_acronym,policy_pillar,historical_amount_allocated_usd,historical_amount_obligated_usd,historical_amount_expended_usd,record_granularity,geographic_scope,financial_context,is_recipient_level_award,is_active_incentive_dollars,program_details_source_url,grants_summary_source_url,program_details_as_of,grants_summary_as_of
0012005,Essential City Services,Mayor's Office,MO,Effective Governance,,,,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0014771,Management and Administration,Mayor's Office,MO,Effective Governance,3955704.95,3955704.95,3265194.61,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0052005,Essential City Services,Office of Budget & Management,OBM,Effective Governance,,,,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0054010,Essential City Services,Office of Budget & Management,OBM,Effective Governance,,,,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0054767,Chicago Student Aid Program,Office of Budget & Management,OBM,Youth & Economy,3871890.60,3871890.60,3871890.60,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0054771,COVID-19 Emergency Response,Office of Budget & Management,OBM,Mental Health & Wellness,,,,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0054774,Essential City Services,Office of Budget & Management,OBM,Effective Governance,1169200000.00,1169200000.00,1167200000.00,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0054779,Neighborhood Broadband Connectivity,Office of Budget & Management,OBM,Housing & Homelessness Supports,4550000.00,4550000.00,4547500.00,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0054895,Management and Administration,Office of Budget & Management,OBM,Effective Governance,11084328.54,11084328.54,8982775.51,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0154887,COVID-19 Emergency Response,Office of Budget & Management,OBM,Mental Health & Wellness,292574.58,292574.58,292574.58,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
