name,category,lat,lng,amount_text,link,description
1901 Project,Megasites,41.8806908,-87.6741759,$7 billion,https://www.the1901projectchicago.com/,"$7 billion over 10 years, residential, commercial, open space and event. https://www.the1901projectchicago.com/"
The 78,Megasites,41.8640724,-87.6320745,$7 billion,https://www.78chicago.com/ https://dpi.uillinois.edu/,"$7 billion, 13m sq ft of residential/commercial/institutional, 10k residential units, new Red Line stop at 15th, Discovery Partners Institute. https://www.78chicago.com/ https://dpi.uillinois.edu/"
Bronzeville Lakefront,Megasites,41.8425995,-87.6164762,$3.8 billion,https://bronzevillelakefront.com/,"$3.8 billion, 500k sq ft life sciences center, senior housing, residential, retail, data center, open space. https://bronzevillelakefront.com/"
Illinois Quantum and Microelectonics Park,Megasites,41.7375192,-87.5404654,$5 billion,https://www.intersectillinois.org/illinois-quantum-park/,"$5 billion campus with anchor tenant, Psi Quantum, other tenants include DARPA, Chicago Quantum Exchange members and a future Supplier Park. https://www.intersectillinois.org/illinois-quantum-park/"
Lincoln Yards,Megasites,41.9171078,-87.6599868,$6 billion,https://www.lincolnyards.com/,"$6 billion, 6k residential, commercial, open space, event space. https://www.lincolnyards.com/"
One Central,Megasites,41.8569819,-87.6172851,$20 billion,https://www.chicago.gov/city/en/depts/dcd/supp_info/one-central.html,"$20 billion, 9k residential, transit hub, 1.5m sq ft retail, 9.45m sq ft office, 1.5m sq ft hotel, 350k sq ft event space https://www.chicago.gov/city/en/depts/dcd/supp_info/one-central.html"
The River District,Megasites,41.8932378,-87.6440848,$2.5 billion,https://www.architectmagazine.com/project-gallery/the-river-district_o,"$2.5 billion, 14 mixed-use buildings, 5,900 residential units, offices, public space, Bally's Casino. https://www.architectmagazine.com/project-gallery/the-river-district_o"
Riverline,Megasites,41.8708719,-87.6340166,$1 billion,https://www.riverlinechicago.com/,"$1 billion, 4 mixed-use towers and a riverwalk. https://www.riverlinechicago.com/"
Southbank,Megasites,41.8723651,-87.634718,$1 billion,,"$1 billion, four towers including, The Cooper, The Reed and un-named 3rd tower under construction."
Lakeshore East,Megasites,41.8853797,-87.6185836,$4 billion,https://www.magellandevelopment.com/projects/the-lakeshore-east-master-plan/,"$4 billion, residential towers with mixed-use first floors surrounding a private park. 4,950 residences, 1,500 hotel rooms, 770k sq ft of retail https://www.magellandevelopment.com/projects/the-lakeshore-east-master-plan/"
Chicago Bears Stadium Proposal,Proposed Projects,41.8623132,-87.6166884,$7 billion; $4.7 billion,,"$7 billion campus, anchored by a $4.7 billion publicly-owned stadium, enhanced lakefront, publicly-owned hotel."
White Sox Deck Park Proposal,Proposed Projects,41.8298609,-87.6336684,$4 billion,,"$4 billion phase 1 mixed-use redevelopment anchored by a new publicly-owned stadium, residential units, a hotel, commercial and office space and a transferium deck for transit across the Red Line, Metra and CTA buses that traverses 90/94."
43 Green,Large Developments,41.8167922,-87.6201091,$200 million,,"$200 million led by P3 Markets, 179 units residential, 10k retail space"
Bally's Casino,Large Developments,41.8914042,-87.6431515,$1.7 billion,https://casinos.ballys.com/chicago/tribune-location.htm,"$1.7 billion, 500 room hotel, 10 food and beverage venues, 3k seat venue, 20k sq ft museum/gallery. https://casinos.ballys.com/chicago/tribune-location.htm"
Chase Tower Redevelopment,Large Developments,41.8814746,-87.6296092,$19 million,https://www.jpmorganchase.com/newsroom/press-releases/2024/chicago-investment,$19 million renovation of all 65 floors https://www.jpmorganchase.com/newsroom/press-releases/2024/chicago-investment
Interent L3C,Large Developments,41.8931067,-87.7188751,,,a cluster of 23 single-family homes led by developer Ingerent L3C and meant to build off of local ISW projects.
James R. Thompson Center,Large Developments,41.8851266,-87.6316896,$280 m,https://chicago.suntimes.com/real-estate/2024/05/06/thompson-center-google-prime-capri-redevelopment-loop-headquarters,$280 m adaptive reuse for new Google HQ for 2k employees https://chicago.suntimes.com/real-estate/2024/05/06/thompson-center-google-prime-capri-redevelopment-loop-headquarters
Obama Presidential Center,Large Developments,41.7857299,-87.5858343,$850 million,https://www.obama.org/about/financials/annual-reports/2022/obama-presidential-center/,"$850 million library, museum, education and community center. https://www.obama.org/about/financials/annual-reports/2022/obama-presidential-center/"
Pullman Hotel,Large Developments,41.6942454,-87.6021234,,,"Backed by the Pullman Hotel Group LLC (CNI and US Bank), upper-midscale limited services hotel with 95-100 guest rooms"
South Bridge,Large Developments,41.8528043,-87.6270854,$97 million,https://southbridgechicago.com/,"$97 million, 877 residential units, 65k sq ft retail, open space https://southbridgechicago.com/"
La Salle Reimagined Zone,LaSalle Reimagined,41.88068366245189,-87.63157863327294,$956 million,https://www.chicago.gov/city/en/sites/lasalle-street/proposals.html,"$956 million in total investment, 1,714 total residential units, 633 affordable units. https://www.chicago.gov/city/en/sites/lasalle-street/proposals.html"
111 W Monroe St,LaSalle Reimagined,41.8804679,-87.6313559,$203 million,,"$203 million, 345 residential units and a hotel, ground floor retail"
208 S La Salle St,LaSalle Reimagined,41.8789847,-87.6324459,$123 million,,"$123 million, 226 residential units, upgrades to existing hotel."
30 N La Salle St,LaSalle Reimagined,41.8828058,-87.6326309,$130 million,,"$130 million, 349 residential units, ground floor retail."
79 W Monroe St,LaSalle Reimagined,41.8805788,-87.6306532,,,
135 S La Salle St,LaSalle Reimagined,41.8796772,-87.6321143,$258 million,,"$258 million, 430 units, 80k sq ft of mixed use including retail and cultural space."
105 W Adams St,LaSalle Reimagined,41.879218,-87.6310445,$178 million,,"$178 million, 247 residential units, food market and coffee shop"
O'Hare International Airport Revamp,Transit projects,41.9802588,-87.9089858,$8.5 billion,https://www.airport-technology.com/news/agreement-finally-reached-on-8-5bn-upgrades-at-chicago-ohare/?cf-view,"$8.5 billion project, Terminal 3 upgrade, new International Terminal, expands capacity to 215 gates. https://www.airport-technology.com/news/agreement-finally-reached-on-8-5bn-upgrades-at-chicago-ohare/?cf-view"
Red Line Extension,Transit projects,41.68328119034347,-87.61380538377178,$5.3 billion,,"$5.3 billion to add 4 stations. 10rd, 111th, 115th, 130th"
Union Station Redevelopment,Transit projects,41.877747,-87.63987,$1 billion; $418 million,https://chicagounionstation.com/masterplan,"$1 billion total, $418 million transit costs with Amtrak covering 20% https://chicagounionstation.com/masterplan"
"Always Growing, Auburn Gresham",Community Led Projects,41.743799,-87.641397,,,"4 buildings led by GAGDC including the Healthy Lifestyle Hub, Green Era Campus and an Urban Farm Campus"
Aspire Initiative,Community Led Projects,41.8808915,-87.7637255,,https://austincomingtogether.org/aspire/,"Four projects led by Austin Coming Together and Westside Health Authority. Includes the Aspire Center for Workforce Innovation, an Education and Wellness, Campus, Housing by reutilizing vacant properties and the Austin College and Career Academy. https://austincomingtogether.org/aspire/"
Blue Azul,Community Led Projects,41.7507093,-87.6520553,,,"Blue Azul is a new construction, multidisciplinary facility in Auburn Gresham, focusing on sports, fitness and mental health. Our focus is on the health and well-being of our community members, while providing a safe space to heal, be, grow, learn and play. We aim for our facility and programs to ha"
Burst Into Books,Community Led Projects,41.6942136,-87.6205965,,,A bookstore and literacy center on the ground floor with the 1921 incubator on the second floor.
Cafe DuBois,Community Led Projects,41.7214367,-87.6321565,,,"led by Endeleo Institute, a planned laundromat and employee-owned cafe"
Centro de Solidaridad Mi Villita,Community Led Projects,41.8483578,-87.7018465,$8 million,https://www.leverforchange.org/challenges/explore-challenges/chicago-prize/creating-solidarity-economy-centro-de-solidaridad-mi-villita/,"Little Village Environmental Justice Organization (LVEJO) and Delta Institute will create a new community hub to provide Little Village and Southwest Chicago with food equity and economic development opportunities. They will transform a vacant, former firehouse at 2358 S. Whipple to 1) Offer 150 foo"
Chicago Eco House,Community Led Projects,41.7762009,-87.6468754,,,"9 acres of urban flower farms for workforce development, trauma remediation and entrepreneurial sales of wholesale flowers."
Cultivate Collective,Community Led Projects,41.813403,-87.74739,,https://cultivate-collective.org/,"71k sq ft Cultivate Hub with health care, fresh food access, community gardens, nature-based play scapes, walking trails, education, and vital services https://cultivate-collective.org/"
Cupid Candies Rehabilitation,Community Led Projects,41.7545083,-87.6824933,$1.5 million,,"$1.5 million project. Future home of Brown Sugar Life is Sweet candies, modernizing the old Cupid Candies factory."
Dust Em Clean Maintenance Co,Community Led Projects,41.7842012,-87.609432,,,"three-story, 9,200 sq ft mixed use building with ground floor retail and 4 residential units."
Englewood Hospitality Hub,Community Led Projects,41.779506,-87.6502725,,,"Led by EG Woode and the Tadros family, redevelopment of the entire block."
