name,origin,status_2026,announced_investment_usd,year_announced,lead_developers,private_led,public_subsidy_note,investment_note,log_line,confidence,source_urls
1901 Project (United Center campus),verified,under_construction,7000000000,2024,"Reinsdorf family (Chicago Bulls) and Wirtz family (Chicago Blackhawks), via the United Center Joint Venture; day-to-day leadership by Michael Reinsdorf (Bulls COO) and Danny Wirtz (Blackhawks CEO)",True,"Developers initially said the project would not seek city funding or TIF assistance (as with the original United Center 30 years ago), but in May 2026 City Council approved a Cook County Class 7(b) property tax incentive worth ~$54.7-55M over 12 years to support Phase 1 -- the project's first public-money component. A possible TIF district extension (to help fund a new CTA station) has also been f","The $7B figure was first reported in July 2024 (Sportico, Sun-Times, WBEZ) when the plan was unveiled, and is unchanged through the June 2026 groundbreaking coverage. It covers the full 10-year, six-phase, 55-acre buildout (targeted completion 2040); Phase 1 alone is reported at roughly $500M. FRESH VERIFICATION (July 2026): $7B independently corroborated across ABC7, CBS Chicago, WTTW, Block Club","A $7B, decade-long redevelopment of 55 acres of United Center parking lots on Chicago's Near West Side into a mixed-use entertainment district (6,000-seat music hall, hotel, retail, thousands of housing units); groundbreaking was held June 3, 2026 on the roughly $500M first phase.",high,https://news.wttw.com/2026/06/03/officials-hold-groundbreaking-7b-project-redevelop-area-surrounding-united-center https://chicago.suntimes.com/real-estate/2026/06/03/united-center-owners-wirtz-reinsdorf-break-ground-7-billion-1901-project https://chicago.suntimes.com/real-estate/2026/03/23/united-center-owners-wirtz-reinsdorf-1901-project-55-million-property-tax-break https://www.chicagobusiness.com/politics-policy/ccb-reinsdorf-wirtz-1901project-20260320/
The 78 (Related Midwest),verified,under_construction,7000000000,2018,Related Midwest (master developer of the 62-acre site); Chicago Fire FC owner Joe Mansueto (stadium component),True,"July 2026: City Council's Finance Committee approved roughly $425M in public infrastructure financing (including about $287M in TIF funds drawn from a nearby district) to reimburse Related Midwest for roads, a parking garage, and other infrastructure supporting the site. The stadium construction itself is privately financed and not part of that public package.","Related Midwest was named developer in 2016 and unveiled a $5B master plan in May 2018; the total grew to $7B in subsequent years and is still the figure used in 2025-2026 coverage (Wikipedia, TheRealDeal, Chicago Build Expo). The Chicago Fire stadium itself is separately reported at $650M (earlier FOX32/TimeOut coverage) to $750M (WTTW, March 2026) and is privately financed by Joe Mansueto -- a s","A 62-acre, $7B mixed-use megaproject on former rail land along the Chicago River just south of the Loop, envisioned as the city's '78th neighborhood'; construction is underway on a privately financed ~22,000-seat Chicago Fire FC stadium (broke ground March 2026, targeted to open for the 2028 MLS season), alongside $425M in public infrastructure financing approved by City Council in July 2026.",high,https://therealdeal.com/chicago/2026/07/14/the-78-gets-key-approval-for-425m-tif-deal/ https://therealdeal.com/chicago/2026/07/13/chicago-proposes-278m-tif-raid-for-relateds-the-78/ https://news.wttw.com/2026/03/03/chicago-fire-break-ground-new-750m-stadium-site-amid-gentrification-concerns https://blockclubchicago.org/2026/07/15/city-council-approves-424-million-in-public-money-for-parking-garage-other-infrastructure-near-new-fire-soccer-stadium/
Bronzeville Lakefront (former Michael Reese Hospital site),verified,under_construction,3800000000,2020,"GRIT Chicago consortium: Farpoint Development, Chicago Neighborhood Initiatives (CNI), McLaurin Development Partners, Loop Capital, Bronzeville Community Development Partnership, with Draper & Kramer",True,"The city-owned land was sold to GRIT for $96.9M under a 2021-approved deal that also included roughly $60M in city-funded public infrastructure support. Additional public financing (e.g., TIF) may apply to individual future phases, but no comprehensive updated public-subsidy figure for 2026 was found.","GRIT unveiled its vision for the 100-acre site in March 2020 (Sheba/ARC Innovation Center as Phase 1 anchor); City Council approved the plan at $3.8B in July 2021, and that figure remains the most consistently cited through 2025-2026 coverage (Chicago Construction News, REBusinessOnline, Chicago Build Expo, CBS Chicago). An earlier Urban Land Institute estimate cited $3.1B (within tolerance of $3.","A $3.8B, roughly 7-million-sq-ft mixed-income redevelopment of the former Michael Reese Hospital site on Chicago's South Side lakefront, led by the GRIT Chicago development team; as of 2026 the visibly active work is site infrastructure and a 2-acre public park (completion targeted Q4 2026), while the first vertical phase -- an ARC Innovation Center life-sciences building anchored by Sheba Medical",medium,https://www.chicagoconstructionnews.com/officials-break-ground-on-3-8-billion-bronzeville-lakefront-project/ https://rebusinessonline.com/city-of-chicago-approves-3-8b-mixed-use-project-at-former-michael-reese-hospital-site/ https://www.chicagobuildexpo.com/industry-news-1/bronzeville-lakefront-breaks-ground https://urbanland.uli.org/development-business/bronzeville-lakefront-how-chicago-and-the-grit-development-team-envision-the-3-1-billion-mixed-use-redevelopment
"Illinois Quantum and Microelectronics Park / PsiQuantum campus (South Works, 8080 S DuSable Lake Shore)",verified,under_construction,9000000000,2024,State of Illinois (DCEO) / Related Midwest (master developer); anchored by PsiQuantum with DARPA and IBM,False,Heavily publicly backed: the Illinois General Assembly approved a $500M state investment (2024) to build out the campus; PsiQuantum receives a $200M state tax-incentive package tied to its ~$1.09B+ minimum investment; the Cook County Board approved an additional $20M investment; the park is operated by a University of Illinois-affiliated University-Related Organization; federal involvement (includ,"The ~$9B figure is the total projected build-out cost for the full multi-building, multi-phase campus as reported in 2025-2026 coverage (The Quantum Insider, HPCwire, Sun-Times, TechTimes) -- a rounded media estimate for the initial phase, not a single official filing. FRESH VERIFICATION (July 2026): the ~$9B initial-phase estimate is corroborated across multiple independent 2025-2026 outlets -- r","A roughly $9B, 128-acre 'Quantum Shore' technology campus on the former U.S. Steel South Works site on Chicago's South Side, anchored by PsiQuantum's utility-scale, fault-tolerant quantum computer facility; a state-initiated public-private partnership operated by a University of Illinois-affiliated organization, with private developers (Related Midwest/CRG) and private anchor tenants building out ",medium,https://chicago.suntimes.com/real-estate/2025/10/01/related-midwest-crg-breaks-ground-illinois-quantum-computing-park-us-steel-south-works https://www.hpcwire.com/off-the-wire/psiquantum-launches-construction-of-quantum-facilities-at-chicagos-south-works-site/ https://www.techtimes.com/articles/321147/20260721/global-quantum-forum-opens-chicago-amid-encryption-countdown-9b-park.htm https://en.wikipedia.org/wiki/Illinois_Quantum_and_Microelectronics_Park
Lincoln Yards (northern parcel now rebranded 'Foundry Park'),verified,announced,3000000000,2018,"Original developer Sterling Bay (2018-2025) lost the northern ~34 acres to lender Bank OZK via foreclosure in March 2025. That parcel was then acquired by JDL Development and Kayne Anderson Real Estate, who now lead it under the new name 'Foundry Park' (City Plan Commission approved Jan 2026; City Council approved Feb 18 2026; groundbreaking scheduled for fall/October 2026). Sterling Bay and J.P. Morgan Asset Management retain the southern portion under the original 'Lincoln Yards' name, with no active construction reported there as of mid-2026.",True,"For Foundry Park: developers are reported to contribute directly about $33M while roughly $202M of an estimated ~$235M in infrastructure costs (roads, parks, public improvements) would be reimbursed via TIF; a June 2026 Block Club Chicago report and CoStar separately cite more than $200M in public funding lined up for the project.","The 2024-era $6B figure was Sterling Bay's original full-site (north + south) master-plan total dating to its 2018 unveiling, and is now stale: Sterling Bay lost the northern ~34 acres to lender Bank OZK in a March 2025 foreclosure. New owners JDL Development/Kayne Anderson's 'Foundry Park' plan for that northern parcel is reported at ~$3B (CoStar, Urbanize Chicago, Jan-Feb 2026) for 6M+ sq ft and","Sterling Bay's original $6B Lincoln Yards vision has effectively collapsed: Bank OZK foreclosed on the northern ~34 acres in 2025, and new owners JDL Development and Kayne Anderson Real Estate rebranded it 'Foundry Park' -- a scaled-back, housing-led ~$3B plan (3,200+ units) that won City Council approval on Feb 18, 2026, with a ~$800M Phase 1 and groundbreaking scheduled for fall 2026. The southe",high,https://blockclubchicago.org/2025/03/31/sterling-bay-surrendering-section-of-lincoln-yards-to-lender-in-latest-setback-for-megadevelopment/ https://therealdeal.com/chicago/2026/01/16/foundry-park-clears-first-approval-for-megaproject/ https://www.costar.com/article/1190768472/chicagos-3-billion-foundry-park-development-takes-key-step-forward https://blockclubchicago.org/2026/06/09/foundry-park-in-line-for-200-million-in-public-funding-at-former-lincoln-yards-site/
One Central (Landmark Development),verified,stalled,20000000000,2019,Bob Dunn / Landmark Development (Wisconsin/Chicago-based),True,"CONFIRMED private-led project dependent on a large public financing ask. The 2026 revival was tied to proposed 'NOVA' urban-district bond legislation (an expanded STAR-bond tier authorizing up to ~$1.6B in bonds, crafted with One Central in mind) attached to the Bears/megaprojects effort. Fresh search confirms the megaprojects/stadium financing package failed to be enacted in the spring 2026 sessi","VERIFIED (fresh search 7/2026): The $20B figure is confirmed as Landmark Development's original 2018-2019 total buildout estimate (34 acres of Metra air rights + transit hub + high-rises) and remains the number most commonly repeated in 2026 press (TheRealDeal Mar 2026; Yahoo/Crain's 'the $20 billion One Central project'). It is a LEGACY headline, not a 2026 cost estimate: the 2026 revival sought ","A long-dormant, once-$20B South Loop megaproject over Metra tracks near Soldier Field, revived in early 2026 alongside the Bears-stadium fight but still with zero construction; the state bond financing Landmark was counting on failed to be enacted in Springfield in the 2026 session and the Bears have since pivoted toward Indiana.",medium,https://therealdeal.com/chicago/2026/03/11/bob-dunn-revives-one-central-megaproject/ https://www.chicagobusiness.com/politics-policy/ccb-one-central-bob-dunn-bears-20260309/ https://mwcllc.com/2026/06/29/illinois-end-of-session-report-june-2026/ https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/reportsrequiredbystatute/one-central-feasibility-study-2025.pdf
The River District (700 W Chicago),verified,proposed,1100000000,2024,"Onni Group (current owner since 2022, advancing 'Halsted Landing'). The original 2017 'River District' office megaproject was proposed by Riverside Investment & Development on Tribune Media/Nexstar-owned land and was abandoned in 2021.",True,No confirmed TIF or state-incentive package identified in current coverage of either the original 2017 project or the current Halsted Landing proposal; both were/are pitched as privately financed.,"VERIFIED (fresh search 7/2026): $1.1B is independently confirmed by multiple 2024 sources (Connect CRE, Chicago Sun-Times, BLDUP, Urbanize Chicago) as the total investment for Onni Group's 'Halsted Landing,' the current 2,451-unit (490 affordable) residential-led replacement at 700 W Chicago; Onni bought the ~7-acre site in 2022 for ~$45M (confirmed). The prior $2.5B figure belonged to the abandon","The office-led '700 at the River District' megaproject was scrapped in 2021 after failing to attract tenants; Onni Group now owns the riverfront site and is advancing a $1.1B, 2,451-unit residential replacement ('Halsted Landing') that cleared the Plan Commission in 2024 but has had its City Council zoning vote repeatedly deferred amid a labor dispute, with construction not slated to start until 2",high,https://chicagoyimby.com/2021/04/plans-scrapped-for-700-at-the-river-district-megadevelopment-in-river-west.html https://therealdeal.com/chicago/2025/05/21/union-blocks-onnis-chicago-multifamily-rezoning/ https://chicago.urbanize.city/post/11-billion-halsted-landing-would-not-begin-construction-until-2029 https://chicago.urbanize.city/post/plan-commission-approves-halsted-landing-700-w-chicago
Riverline (South Loop river),verified,under_construction,800000000,2018,CMK Companies (design architect Gensler),True,"No confirmed public TIF or state subsidy identified in current reporting; Phase 1 (1010 S Wells, 388 units) was financed via an ~$83M Wintrust Bank construction loan closed Feb/Mar 2026, and the second tower (910 S Wells, 350 units) secured its pile permit in July 2026 on private financing.","VERIFIED (fresh search 7/2026): $800M is CMK Companies' half of what was originally a ~$2B joint South Loop riverfront venture with Lendlease; the partnership split in 2018 (Lendlease took the southern 'Southbank' portion). No updated aggregate total has been reported since; 2026 coverage covers only per-building financing, consistent with the note. Confirmed 2026 activity: an $83M/$83.1M Wintrust","CMK's ~$800M half of the former Riverline/Southbank joint venture is now actively under construction in the South Loop: the first 21-story, 388-unit tower (1010 S Wells) is rising above street level after an $83M 2026 Wintrust construction loan, and a second 28-story tower (910 S Wells) secured its foundation/pile permit in July 2026.",high,https://www.chicagobusiness.com/real-estate/commercial/ccb-cmk-riverline-financing-south-loop-20260324/ https://chicagoyimby.com/2026/07/second-riverline-tower-scores-its-pile-permit-as-residential-floors-rise-on-first-building.html https://therealdeal.com/chicago/2026/07/20/cmk-grabs-permit-to-launch-28-story-south-loop-high-rise/ https://chicagoyimby.com/2026/03/funding-secured-as-south-loop-tower-continues-to-rise.html
Southbank (Lendlease),verified,partially_open,1200000000,2018,Lendlease (original master developer). In May 2024 Lendlease announced it is exiting all U.S. development and selling its Chicago projects; no replacement master developer for unbuilt Southbank phases has been confirmed as of July 2026.,True,No confirmed public TIF or state subsidy identified in current reporting; the project was capitalized privately by Lendlease (with AustralianSuper as an equity partner on parts of the portfolio) and project-level construction loans.,"VERIFIED (fresh search 7/2026): $1.2B is Lendlease's legacy 2018 launch figure for the 7-acre, up-to-2,700-unit master plan. Two towers are complete and stabilized (The Cooper, opened 2019; The Reed, opened 2023, condo closings underway). No updated total-project figure has been issued since Lendlease's May 2024 announcement that it is exiting all U.S. development. Confirmed 2026 capital event: th","A $1.2B, multi-tower South Loop riverfront neighborhood by Lendlease; two towers (Cooper, Reed) are complete and leasing/selling, but Lendlease's 2024 exit from U.S. development has put the 452-unit Cooper up for sale (marketed via CBRE as of May 2026) with no confirmed developer for the remaining phases.",medium,https://www.chicagobusiness.com/real-estate/commercial/ccb-cooper-southbank-apartments-78-20260521/ https://chicagoagentmagazine.com/2024/06/12/lendlease-exits-southbank-project/ https://crenews.com/2026/05/28/452-unit-apartment-property-in-chicago-comes-to-sales-block/ https://chicago.urbanize.city/post/lendlease-completes-first-condo-closings-reed
Lakeshore East (Magellan),verified,partially_open,4000000000,2001,"Magellan Development Group, historically with development partner NNP Residential & Development; South Korean firm Hanwha Engineering & Construction holds a partnership stake in the last undeveloped parcel, now marketed for sale via CBRE.",True,"No confirmed public TIF or state-incentive component identified in available reporting; Lakeshore East was built on privately held former rail-yard/Illinois Center land, with infrastructure (streets, Lakeshore East Park) reported as developer-funded rather than city-TIF-funded.","VERIFIED (fresh search 7/2026): $4B is now INDEPENDENTLY CORROBORATED as the widely-cited total-buildout figure for the 28-acre master plan (neighborhoods.com describes it as 'the 28-acre, $4 billion mixed-use neighborhood'; Magellan's own materials repeat '$4 billion'). It is a long-standing legacy number rooted in the 2001-2002 redevelopment planning rather than a fresh 2026 primary-source cost ","Chicago's roughly $4B, 28-acre riverfront master-planned neighborhood is about 60% built and largely occupied (condos, hotels, Mariano's, GEMS World Academy); condo sales at the 47-story Cirrus tower more than doubled in the first half of 2026 while Magellan markets its South Korean partner Hanwha's stake in the final undeveloped tower parcel to bring in fresh capital.",medium,https://therealdeal.com/chicago/2026/02/11/magellan-lakeshore-east-stake-hits-market/ https://therealdeal.com/chicago/2026/07/17/47-story-lake-shore-east-tower-makes-a-sales-comeback/ https://en.wikipedia.org/wiki/Lakeshore_East https://www.neighborhoods.com/blog/lakeshore-east-meet-chicagos-new-master-planned-community
